dataset,seed,batch,domain_auc,threshold,mean_density_weight,min_density_weight,median_density_weight,max_density_weight,low_clip_fraction,high_clip_fraction
SECOM,17,2,0.9993941999423493,0.13387032891429163,0.4703310128273098,0.05,0.36370554491364876,2.380456099412686,0.005,0.0
SECOM,17,3,0.992985027868178,0.13387032891429163,0.4608220378954613,0.05,0.38208732906022436,2.896878140746557,0.0075,0.0
SECOM,17,4,0.9922237551737112,0.13387032891429163,0.4845551950290882,0.05,0.38469180726407975,3.3012918282755956,0.0075,0.0
SECOM,17,5,0.9939393864380001,0.13387032891429163,0.46956390012354277,0.05,0.38273132859805936,2.636002965759938,0.005,0.0
SECOM,17,6,0.9927947612666433,0.13387032891429163,0.4727517820113051,0.05,0.382170639765417,2.3693538676505455,0.005,0.0
SECOM,17,7,0.994711317362766,0.13387032891429163,0.46807632061835636,0.05,0.36881847783347493,2.5206321259436746,0.01,0.0
SECOM,17,8,0.995882691254035,0.13387032891429163,0.49319791971937993,0.05,0.401676015263598,3.4451338388147734,0.0025,0.0
SECOM,17,9,0.9946926138876604,0.13387032891429163,0.4792178956619027,0.05,0.3969244607584481,2.2124511843265213,0.0025,0.0
SECOM,17,10,0.9921863482234999,0.13387032891429163,0.4772096108994514,0.05,0.39910248208706445,2.778761576630255,0.0075,0.0
SECOM,17,11,0.9941403112698338,0.13387032891429163,0.4692752731084467,0.05,0.40461320737041057,2.2131981312233786,0.01,0.0
SECOM,17,12,0.9914679147385584,0.13387032891429163,0.46346231721892145,0.05,0.3816355434909815,2.115859056820393,0.0075,0.0
SECOM,17,13,0.9808344390387734,0.13387032891429163,0.4541249802892142,0.05,0.3643829585788091,3.5802543109244755,0.0075,0.0
SECOM,17,14,0.9900927967416345,0.13387032891429163,0.4604487019532408,0.05,0.36383720803427444,2.304976692195074,0.005,0.0
SECOM,17,15,0.9950061721467849,0.13387032891429163,1.651338058240809,0.3963681974338625,1.534045640893841,5.493470819073555,0.0,0.0
SECOM,27,0,0.9521315497919515,0.12866687388877818,0.6109683968624506,0.05,0.43400467138525406,7.4434309173395174,0.0125,0.0
SECOM,27,1,0.9586183550403664,0.1231567965308813,0.580411633563007,0.05,0.4216948977911289,4.588874094959471,0.0075,0.0
SECOM,27,2,0.9998525726079905,0.12831729055258467,0.4703310128273098,0.05,0.36370554491364876,2.380456099412686,0.005,0.0
SECOM,27,3,0.9927680125467312,0.12831729055258467,0.4608220378954613,0.05,0.38208732906022436,2.896878140746557,0.0075,0.0
SECOM,27,4,0.996038163890851,0.12831729055258467,0.4845551950290882,0.05,0.38469180726407975,3.3012918282755956,0.0075,0.0
SECOM,27,5,0.9964804460668791,0.12866687388877818,0.46956390012354277,0.05,0.38273132859805936,2.636002965759938,0.005,0.0
SECOM,27,6,0.9926286303995283,0.12866687388877818,0.4727517820113051,0.05,0.382170639765417,2.3693538676505455,0.005,0.0
SECOM,27,7,0.9969066377532946,0.12866687388877818,0.46807632061835636,0.05,0.36881847783347493,2.5206321259436746,0.01,0.0
SECOM,27,8,0.9967833460957046,0.12831729055258467,0.49319791971937993,0.05,0.401676015263598,3.4451338388147734,0.0025,0.0
SECOM,27,9,0.9958720330237357,0.12831729055258467,0.4792178956619027,0.05,0.3969244607584481,2.2124511843265213,0.0025,0.0
SECOM,27,10,0.9996970999711746,0.12866687388877818,0.4772096108994514,0.05,0.39910248208706445,2.778761576630255,0.0075,0.0
SECOM,27,11,0.9967565973757925,0.12831729055258467,0.4692752731084467,0.05,0.40461320737041057,2.2131981312233786,0.01,0.0
SECOM,27,12,0.994850699509969,0.12866687388877818,0.46346231721892145,0.05,0.3816355434909815,2.115859056820393,0.0075,0.0
SECOM,27,13,0.9949874686716792,0.12866687388877818,0.4541249802892142,0.05,0.3643829585788091,3.5802543109244755,0.0075,0.0
SECOM,27,14,0.9953814793788686,0.12866687388877818,0.4604487019532408,0.05,0.36383720803427444,2.304976692195074,0.005,0.0
SECOM,27,15,0.9957430890659484,0.12866687388877818,1.651338058240809,0.3963681974338625,1.534045640893841,5.493470819073555,0.0,0.0
SECOM,37,0,0.9585031086275829,0.13584147355912057,0.6109683968624506,0.05,0.43400467138525406,7.4434309173395174,0.0125,0.0
SECOM,37,1,0.9646789686023663,0.10840506806574912,0.580411633563007,0.05,0.4216948977911289,4.588874094959471,0.0075,0.0
SECOM,37,2,0.9984613641214537,0.1334354570919276,0.4703310128273098,0.05,0.36370554491364876,2.380456099412686,0.005,0.0
SECOM,37,3,0.9936256218905473,0.1334354570919276,0.4608220378954613,0.05,0.38208732906022436,2.896878140746557,0.0075,0.0
SECOM,37,4,0.9949633329372597,0.1334354570919276,0.4845551950290882,0.05,0.38469180726407975,3.3012918282755956,0.0075,0.0
SECOM,37,5,0.9990671641791046,0.1334354570919276,0.46956390012354277,0.05,0.38273132859805936,2.636002965759938,0.005,0.0
