dataset,seed,method,batch,threshold,test_auc,test_average_precision,n,fail_n,auto_release_rate,inspection_rate,missed_failure_rate,false_accepts,inspected_failure_count,review_fail_capture,domain_auc,shift_flag,mean_density_weight,min_density_weight,median_density_weight,max_density_weight,low_clip_fraction,high_clip_fraction,gate_mode,minimum_failures
SECOM,17,Global-CP,3,0.21614904154668846,0.7056986729117877,0.13079104836351,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.992985027868178,1,,,,,,,,
SECOM,17,Global-CP,4,0.21614904154668846,0.7056986729117877,0.13079104836351,50.0,1.0,0.98,0.02,1.0,1.0,0.0,0.0,0.9922237551737112,1,,,,,,,,
SECOM,17,Global-CP,5,0.21614904154668846,0.7056986729117877,0.13079104836351,50.0,1.0,0.98,0.02,1.0,1.0,0.0,0.0,0.9939393864380001,1,,,,,,,,
SECOM,17,Global-CP,6,0.21614904154668846,0.7056986729117877,0.13079104836351,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.9927947612666433,1,,,,,,,,
SECOM,17,Global-CP,7,0.21614904154668846,0.7056986729117877,0.13079104836351,50.0,3.0,0.98,0.02,1.0,3.0,0.0,0.0,0.994711317362766,1,,,,,,,,
SECOM,17,Global-CP,8,0.21614904154668846,0.7056986729117877,0.13079104836351,50.0,5.0,0.98,0.02,1.0,5.0,0.0,0.0,0.995882691254035,1,,,,,,,,
SECOM,17,Global-CP,9,0.21614904154668846,0.7056986729117877,0.13079104836351,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.9946926138876604,1,,,,,,,,
SECOM,17,Global-CP,10,0.21614904154668846,0.7056986729117877,0.13079104836351,50.0,9.0,0.96,0.04,0.8888888888888888,8.0,1.0,0.1111111111111111,0.9921863482234999,1,,,,,,,,
SECOM,17,Global-CP,11,0.21614904154668846,0.7056986729117877,0.13079104836351,50.0,3.0,0.98,0.02,1.0,3.0,0.0,0.0,0.9941403112698338,1,,,,,,,,
SECOM,17,Global-CP,12,0.21614904154668846,0.7056986729117877,0.13079104836351,50.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.9914679147385584,1,,,,,,,,
SECOM,17,Global-CP,13,0.21614904154668846,0.7056986729117877,0.13079104836351,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9808344390387734,1,,,,,,,,
SECOM,17,Global-CP,14,0.21614904154668846,0.7056986729117877,0.13079104836351,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.9900927967416345,1,,,,,,,,
SECOM,17,Global-CP,15,0.21614904154668846,0.7056986729117877,0.13079104836351,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9950061721467849,1,,,,,,,,
SECOM,17,Mondrian-CP,0,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,2.0,0.24,0.76,0.0,0.0,2.0,1.0,0.9637407005221569,1,,,,,,,,
SECOM,17,Mondrian-CP,1,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,1.0,0.16,0.84,0.0,0.0,1.0,1.0,0.950356782540196,1,,,,,,,,
SECOM,17,Mondrian-CP,2,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,4.0,0.42,0.58,0.0,0.0,4.0,1.0,0.9993941999423493,1,,,,,,,,
